City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Nouadhibou,MR,2021-12-22 10:55:12,20.931,-17.0347,67.98,64,20,6.91
90,Esperance,AU,2021-12-22 10:56:28,-33.8667,121.9,69.64,75,1,15.48
91,Staryy Nadym,RU,2021-12-22 10:56:28,65.6118,72.6842,13.26,94,100,19.55
92,Longyearbyen,SJ,2021-12-22 10:56:29,78.2186,15.6401,6.64,61,20,25.32
93,Ngunguru,NZ,2021-12-22 10:56:29,-35.6167,174.5,65.16,79,100,13.53
94,Pevek,RU,2021-12-22 10:56:30,69.7008,170.3133,-16.69,99,100,3.42
95,Itaituba,BR,2021-12-22 10:56:30,-4.2761,-55.9836,74.34,94,91,1.59
96,Tuktoyaktuk,CA,2021-12-22 10:56:30,69.4541,-133.0374,-6.7,92,100,12.5
97,Malanje,AO,2021-12-22 10:54:17,-9.5402,16.341,68.94,92,100,1.41
98,Saskylakh,RU,2021-12-22 10:56:31,71.9167,114.0833,-26.19,99,68,4.99
99,Slave Lake,CA,2021-12-22 10:56:31,55.2834,-114.769,17.58,93,90,2.3
100,Pavlodar,KZ,2021-12-22 10:56:31,52.3,76.95,24.6,86,0,22.37
101,Mocuba,MZ,2021-12-22 10:56:32,-16.8392,36.9856,92.12,49,51,2.06
102,Olafsvik,IS,2021-12-22 10:56:32,64.8945,-23.7142,34.3,74,34,14.47
103,Tabou,CI,2021-12-22 10:56:32,4.423,-7.3528,85.78,58,81,3.51
104,Taltal,CL,2021-12-22 10:56:33,-25.4,-70.4833,63.91,82,56,0.45
105,Umea,SE,2021-12-22 10:56:33,63.8284,20.2597,-0.47,85,0,0.0
106,Kaitangata,NZ,2021-12-22 10:56:34,-46.2817,169.8464,49.6,90,57,5.32
107,Santa Maria,BR,2021-12-22 10:56:34,-29.6842,-53.8069,70.9,94,75,5.75
108,Avarua,CK,2021-12-22 10:56:34,-21.2078,-159.775,77.05,78,75,9.22
109,Saldanha,ZA,2021-12-22 10:56:35,-33.0117,17.9442,71.65,91,79,7.9
110,Veraval,IN,2021-12-22 10:56:30,20.9,70.3667,76.23,41,14,8.75
111,Thompson,CA,2021-12-22 10:56:35,55.7435,-97.8558,-23.64,76,90,3.44
112,San Patricio,US,2021-12-22 10:56:36,28.017,-97.5169,57.04,84,5,7.56
113,Sur,OM,2021-12-22 10:56:36,22.5667,59.5289,83.93,38,25,5.88
114,Zhezkazgan,KZ,2021-12-22 10:56:36,47.8043,67.7144,35.58,93,90,17.9
115,Nantucket,US,2021-12-22 10:56:37,41.2835,-70.0995,50.04,92,100,17.43
116,Ust-Omchug,RU,2021-12-22 10:56:37,61.15,149.6333,-19.75,89,100,5.46
117,Baras,PH,2021-12-22 10:56:37,14.5234,121.2651,82.38,83,93,6.29
118,Severodvinsk,RU,2021-12-22 10:56:38,64.5635,39.8302,5.11,95,100,9.44
119,Hasaki,JP,2021-12-22 10:56:38,35.7333,140.8333,46.8,51,98,13.65
120,Matara,LK,2021-12-22 10:56:38,5.9485,80.5353,80.46,81,31,3.42
121,Dunkwa,GH,2021-12-22 10:56:39,5.9656,-1.78,93.51,19,49,5.46
122,Punta Arenas,CL,2021-12-22 10:52:23,-53.15,-70.9167,50.11,71,20,26.46
123,Medea,DZ,2021-12-22 10:56:39,36.2642,2.7539,52.25,52,98,4.97
124,Berdigestyakh,RU,2021-12-22 10:56:39,62.0989,126.6992,-40.79,98,98,1.23
125,Avera,US,2021-12-22 10:56:40,33.194,-82.5271,40.68,89,88,8.93
126,Adrar,MR,2021-12-22 10:56:40,20.5022,-10.0711,74.64,21,97,14.27
127,Albany,US,2021-12-22 10:56:41,42.6001,-73.9662,37.98,91,88,4.41
128,Isangel,VU,2021-12-22 10:56:41,-19.55,169.2667,79.95,83,5,4.92
129,Kangasala,FI,2021-12-22 10:56:41,61.4638,24.076,16.32,89,47,4.14
130,Port Keats,AU,2021-12-22 10:56:42,-14.25,129.55,83.34,75,100,3.62
131,Ayorou,NE,2021-12-22 10:56:42,14.7308,0.9174,81.52,12,92,13.22
132,Beringovskiy,RU,2021-12-22 10:56:42,63.05,179.3167,17.73,96,100,18.01
133,Kodiak,US,2021-12-22 10:54:17,57.79,-152.4072,32.25,60,66,5.5
134,Bubaque,GW,2021-12-22 10:57:43,11.2833,-15.8333,80.58,47,100,16.51
135,Kutum,SD,2021-12-22 10:57:43,14.2,24.6667,74.55,16,1,11.12
136,Provideniya,RU,2021-12-22 10:57:43,64.3833,-173.3,5.7,88,100,19.13
137,Salym,RU,2021-12-22 10:57:44,60.0625,71.4789,25.75,86,100,13.31
138,Jalu,LY,2021-12-22 10:57:44,29.0331,21.5482,61.09,33,0,3.87
139,Constitucion,CL,2021-12-22 10:57:44,-35.3333,-72.4167,62.22,56,3,1.97
140,Jamestown,US,2021-12-22 10:57:45,42.097,-79.2353,35.1,88,98,16.42
141,Brae,GB,2021-12-22 10:57:45,60.3964,-1.353,42.71,73,100,8.05
142,Hambantota,LK,2021-12-22 10:57:45,6.1241,81.1185,86.34,79,40,6.91
143,Saint George,US,2021-12-22 10:57:08,37.1041,-113.5841,32.47,40,79,3.69
144,Beira,MZ,2021-12-22 10:57:46,-19.8436,34.8389,87.89,58,40,14.0
145,Castro,BR,2021-12-22 10:57:46,-24.7911,-50.0119,71.71,68,39,5.61
146,Zelenogorskiy,RU,2021-12-22 10:57:46,55.0333,87.0,18.12,98,14,3.02
147,Ternovka,RU,2021-12-22 10:57:47,51.678,41.6375,4.39,90,100,8.21
148,Dauphin,CA,2021-12-22 10:57:47,51.1494,-100.0502,12.34,79,90,5.75
149,Cherskiy,RU,2021-12-22 10:57:47,68.75,161.3,-28.93,100,100,5.23
150,Koumac,NC,2021-12-22 10:57:48,-20.5667,164.2833,79.45,79,12,4.52
151,Ust-Kut,RU,2021-12-22 10:57:48,56.7938,105.7672,-36.27,100,13,1.48
152,Joplin,US,2021-12-22 10:57:13,37.0842,-94.5133,34.63,70,0,7.72
153,Fianarantsoa,MG,2021-12-22 10:54:18,-21.4333,47.0833,80.24,51,74,11.59
154,Kahului,US,2021-12-22 10:55:54,20.8947,-156.47,70.86,95,100,14.83
155,Richards Bay,ZA,2021-12-22 10:57:49,-28.783,32.0377,89.42,50,44,10.56
156,Kedrovyy,RU,2021-12-22 10:57:49,56.1667,91.8167,-17.14,98,24,5.37
157,Puerto Ayora,EC,2021-12-22 10:57:50,-0.7393,-90.3518,68.56,96,88,1.01
158,Cabo San Lucas,MX,2021-12-22 10:53:07,22.8909,-109.9124,68.5,78,35,3.36
159,Lasa,IT,2021-12-22 10:57:50,46.6166,10.7002,27.7,51,1,1.41
160,Makarov,RU,2021-12-22 10:57:50,48.6333,142.8,14.54,83,100,7.11
161,Ziarat,PK,2021-12-22 10:57:51,30.3823,67.7282,51.84,27,70,8.34
162,Volcan,PA,2021-12-22 10:57:51,8.7667,-82.6333,62.74,97,95,4.07
163,Port Hedland,AU,2021-12-22 10:57:51,-20.3167,118.5667,89.65,66,2,11.5
164,Te Anau,NZ,2021-12-22 10:57:52,-45.4167,167.7167,46.4,90,44,4.47
165,Sobolevo,RU,2021-12-22 10:57:52,54.4299,31.8996,13.53,90,99,10.6
166,Lingyuan,CN,2021-12-22 10:57:53,41.24,119.4011,21.43,53,6,2.89
167,Grindavik,IS,2021-12-22 10:57:53,63.8424,-22.4338,37.87,75,75,6.91
168,Faya,SA,2021-12-22 10:57:53,18.3851,42.4509,69.91,63,21,10.13
169,Smithers,CA,2021-12-22 10:57:54,54.7804,-127.1743,12.52,92,90,2.3
170,Margate,GB,2021-12-22 10:57:54,51.3813,1.3862,42.69,74,100,4.0
171,Harrisonburg,US,2021-12-22 10:57:39,38.4496,-78.8689,36.91,85,1,0.0
172,Georgetown,MY,2021-12-22 10:55:10,5.4112,100.3354,85.95,75,20,8.99
173,Salinopolis,BR,2021-12-22 10:57:55,-0.6136,-47.3561,81.99,78,100,13.33
