City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Inhambane,MZ,75.49,overcast clouds,-23.865,35.3833,Oceano
225,Esperance,AU,68.4,clear sky,-33.8667,121.9,Hospitality Esperance
226,Angoche,MZ,79.23,overcast clouds,-16.2325,39.9086,Guest House HESADA
229,Chaves,US,73.58,overcast clouds,33.3834,-104.4505,Red Barn RV Park
232,Maceio,BR,80.47,overcast clouds,-9.6658,-35.7353,Poutur Pousada
233,Los Llanos De Aridane,ES,60.55,broken clouds,28.6585,-17.9182,Valle Aridane
234,Ancud,CL,62.13,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
235,Hadejia,NG,66.54,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
238,Micheweni,TZ,79.02,moderate rain,-4.9667,39.8333,
239,Coihaique,CL,64.35,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
241,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
243,Namatanai,PG,82.85,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
244,Reconquista,AR,77.41,clear sky,-29.15,-59.65,Grand Hotel
248,Rawson,AR,65.44,clear sky,-43.3002,-65.1023,Hosteria Sampedro
249,Candido De Abreu,BR,68.23,clear sky,-24.5669,-51.3333,Hotel Recanto
250,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
251,Meulaboh,ID,74.37,scattered clouds,4.1363,96.1285,Kost Pria
252,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
258,Tete,MZ,76.96,overcast clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
262,Paita,PE,69.89,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
264,Broken Hill,AU,82.2,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
265,Waipawa,NZ,61.93,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
267,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
268,Iquitos,PE,78.84,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
269,Hithadhoo,MV,81.63,scattered clouds,-0.6,73.0833,Scoop Guest House
270,Vao,NC,77.81,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
271,Puerto Quijarro,BO,76.53,scattered clouds,-17.7833,-57.7667,Hotel palance
273,Mount Gambier,AU,60.71,overcast clouds,-37.8333,140.7667,The Commodore
