City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Tazmalt,DZ,36.3868,4.3989,52.16,73,100,7.11,overcast clouds
137,Yellowknife,CA,62.456,-114.3525,-7.6,97,100,7.74,overcast clouds
138,Vardo,NO,70.3705,31.1107,23.2,63,100,24.05,light snow
139,Santa Maria,BR,-29.6842,-53.8069,70.38,52,1,5.06,clear sky
140,Hay River,CA,60.8156,-115.7999,-10.52,97,100,10.56,overcast clouds
141,Hermanus,ZA,-34.4187,19.2345,66.9,85,95,13.62,overcast clouds
142,Kaitangata,NZ,-46.2817,169.8464,61.93,72,0,8.95,clear sky
143,Saint-Augustin,CA,51.226,-58.6502,30.07,94,100,13.15,light snow
144,Shaki,AZ,41.0833,47.1667,25.59,54,59,4.45,broken clouds
145,Srednekolymsk,RU,67.45,153.6833,-24.95,98,100,3.76,overcast clouds
146,Shimoda,JP,34.6667,138.95,47.1,76,100,10.51,overcast clouds
147,Severo-Kurilsk,RU,50.6789,156.125,28.04,85,100,9.04,light snow
148,Qaanaaq,GL,77.484,-69.3632,3.25,85,98,6.44,overcast clouds
149,Esso,RU,55.9333,158.7,-2.24,93,58,3.91,broken clouds
150,Atuona,PF,-9.8,-139.0333,78.64,75,7,11.63,clear sky
151,Lavumisa,SZ,-27.31,31.892,66.88,94,100,1.63,overcast clouds
152,Axim,GH,4.8699,-2.2405,79.86,83,19,5.23,few clouds
153,Iberia,US,29.9502,-91.7507,71.67,83,40,8.05,scattered clouds
154,Aksu,CN,41.1231,80.2644,26.31,51,100,4.0,overcast clouds
155,Yangjiang,CN,21.85,111.9667,63.54,79,0,7.34,clear sky
156,Pangai,TO,-19.8,-174.35,79.83,65,11,2.39,few clouds
157,Carnarvon,AU,-24.8667,113.6333,82.47,65,0,14.97,clear sky
158,Buala,SB,-8.145,159.5921,85.53,73,100,3.58,light rain
159,Coihueco,CL,-36.6167,-71.8333,78.39,17,0,10.54,clear sky
160,Mocuba,MZ,-16.8392,36.9856,76.55,80,100,3.2,overcast clouds
161,Tura,IN,25.5198,90.2201,54.93,65,41,3.78,scattered clouds
162,Saldanha,ZA,-33.0117,17.9442,62.73,85,93,8.48,overcast clouds
163,Kapaa,US,22.0752,-159.319,78.78,69,29,4.0,light rain
164,Saint-Pierre,RE,-21.3393,55.4781,78.48,87,20,3.44,light rain
165,Guerrero Negro,MX,27.9769,-114.0611,66.29,74,92,13.51,overcast clouds
166,Limoeiro,BR,-7.8747,-35.4503,77.45,80,55,7.96,broken clouds
167,Boyolangu,ID,-8.1181,111.8935,78.33,87,100,2.98,overcast clouds
168,Sur,OM,22.5667,59.5289,72.48,54,0,4.94,clear sky
169,Opuwo,NA,-18.0607,13.84,65.14,34,86,7.87,overcast clouds
170,Pisco,PE,-13.7,-76.2167,69.85,73,0,14.97,clear sky
171,Batagay-Alyta,RU,67.8006,130.4114,-25.29,99,98,2.59,overcast clouds
172,Sumenep,ID,-7.0167,113.8667,81.86,78,100,2.21,moderate rain
173,Puerto Escondido,MX,15.85,-97.0667,81.43,69,20,5.75,few clouds
174,Ilam,NP,26.9167,87.9167,45.72,76,3,5.73,clear sky
175,Ivanovka,KG,42.8878,75.085,34.23,65,86,5.32,overcast clouds
176,Lagoa,PT,39.05,-27.9833,62.38,90,97,11.16,overcast clouds
177,Narsaq,GL,60.9167,-46.05,43.02,52,77,17.54,broken clouds
178,Provideniya,RU,64.3833,-173.3,8.37,95,100,18.57,snow
179,Port Elizabeth,ZA,-33.918,25.5701,59.09,90,82,9.55,broken clouds
180,Sibolga,ID,1.7427,98.7792,75.42,83,53,3.04,broken clouds
181,Palmer,US,42.1584,-72.3287,27.93,80,85,3.47,overcast clouds
182,San Diego De Los Banos,CU,22.6467,-83.3697,65.55,74,2,4.68,clear sky
183,Bloomington,US,44.8408,-93.2983,41.32,87,75,1.01,broken clouds
184,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,95,94,6.31,overcast clouds
185,Bouza,NE,14.4229,6.0428,64.9,14,25,10.04,scattered clouds
186,Ha Tinh,VN,18.3333,105.9,68.65,95,100,3.36,overcast clouds
187,Ahipara,NZ,-35.1667,173.1667,74.61,52,11,6.6,few clouds
188,Mar Del Plata,AR,-38.0023,-57.5575,72.88,77,100,10.0,overcast clouds
189,Yar-Sale,RU,66.8333,70.8333,9.73,91,100,16.87,overcast clouds
190,Geraldton,AU,-28.7667,114.6,95.41,11,0,24.16,clear sky
191,Hasaki,JP,35.7333,140.8333,45.0,86,100,4.72,overcast clouds
192,Bobo Dioulasso,BF,11.1771,-4.2979,74.23,21,3,4.43,clear sky
193,Novoselytsya,UA,48.2193,26.2653,45.97,89,91,3.74,overcast clouds
